position,season,games_played_season,fantasy_points,player_type,points_per_game
WR,2021,14.0,114.7,offensive,8.19
WR,2021,15.0,183.0,offensive,12.2
QB,2021,14.0,344.67999999999995,offensive,24.62
TE,2021,4.0,68.5,offensive,17.12
TE,2021,15.0,93.6,offensive,6.24
QB,2021,17.0,424.96,offensive,25.0
RB,2021,15.0,121.7,offensive,8.11
WR,2021,4.0,-0.30000000000000004,offensive,-0.08
WR,2021,11.0,53.400000000000006,offensive,4.85
QB,2021,15.0,375.09999999999997,offensive,25.01
RB,2021,6.0,11.0,offensive,1.83
WR,2021,14.0,337.3,offensive,24.09
WR,2021,10.0,87.80000000000001,offensive,8.78
TE,2021,8.0,32.5,offensive,4.06
WR,2021,16.0,350.5,offensive,21.91
WR,2021,11.0,49.5,offensive,4.5
TE,2021,8.0,25.1,offensive,3.14
QB,2021,7.0,227.4,offensive,32.49
WR,2021,14.0,224.4,offensive,16.03
WR,2021,8.0,81.30000000000001,offensive,10.16
WR,2021,14.0,96.4,offensive,6.89
TE,2021,5.0,37.3,offensive,7.46
TE,2021,9.0,62.2,offensive,6.91
WR,2021,17.0,288.5,offensive,16.97
TE,2021,10.0,96.3,offensive,9.63
WR,2021,15.0,86.5,offensive,5.77
WR,2021,4.0,2.8000000000000003,offensive,0.7
QB,2021,15.0,357.12000000000006,offensive,23.81
RB,2021,6.0,19.5,offensive,3.25
WR,2021,11.0,46.9,offensive,4.26
WR,2021,12.0,74.7,offensive,6.22
TE,2021,5.0,20.200000000000003,offensive,4.04
WR,2021,17.0,34.300000000000004,offensive,2.02
RB,2021,10.0,39.9,offensive,3.99
TE,2021,11.0,9.700000000000001,offensive,0.88
RB,2021,17.0,104.20000000000002,offensive,6.13
RB,2021,11.0,50.2,offensive,4.56
RB,2021,11.0,0.4,offensive,0.04
WR,2021,14.0,64.60000000000001,offensive,4.61
TE,2021,16.0,137.3,offensive,8.58
TE,2021,16.0,75.0,offensive,4.69
RB,2021,16.0,191.10000000000002,offensive,11.94
